년(Annual),구분,LEVEL1,값,증감,증감율,구성비,누계,누계구성비
2019,도입률,대구,34.1,34.1,34.1,0,0,0
2019,도입률,인천,20.1,20.1,20.1,0,0,0
2019,도입률,광주,20.8,20.8,20.8,0,0,0
2019,도입률,대전,28.8,28.8,28.8,0,0,0
2019,도입률,울산,12.2,12.2,12.2,0,0,0
2019,도입률,세종,23.5,23.5,23.5,0,0,0
2019,도입률,경기,13.6,13.6,13.6,0,0,0
2019,도입률,강원,34.7,34.7,34.7,0,0,0
2019,도입률,충북,20.9,20.9,20.9,0,0,0
2019,도입률,충남,9.3,9.3,9.3,0,0,0
2019,도입률,전북,22.7,22.7,22.7,0,0,0
2019,도입률,전남,13.6,13.6,13.6,0,0,0
2019,도입률,경북,15.2,15.2,15.2,0,0,0
2019,도입률,경남,21.8,21.8,21.8,0,0,0
2019,도입률,제주,26.8,26.8,26.8,0,0,0
